family,count,accuracy,false_negative_rate,ece
malicord,162,0.14814814814814814,0.8518518518518519,0.6023582612072255
lazzzy,179,0.37988826815642457,0.6201117318435754,0.4520503828462605
rugmi,256,0.3828125,0.6171875,0.44719977753392814
goblin,165,0.593939393939394,0.406060606060606,0.23016956912694994
penguish,131,0.5954198473282443,0.40458015267175573,0.27840320909644944
softcnapp,105,0.6666666666666666,0.33333333333333337,0.23792004060129046
nemesis,109,0.8256880733944955,0.17431192660550454,0.15887031164468954
bodegun,109,0.8348623853211009,0.1651376146788991,0.09196359698844746
babar,236,0.8432203389830508,0.15677966101694918,0.10192173014789499
midie,334,0.8622754491017964,0.13772455089820357,0.11013597589791438
avrora,192,0.90625,0.09375,0.15060847867190338
zard,115,0.9130434782608695,0.08695652173913049,0.0720295920688339
zapchast,190,0.9157894736842105,0.08421052631578951,0.07434719074649863
fragtor,728,0.9162087912087912,0.08379120879120883,0.03674928233495721
ad2345,135,0.9185185185185185,0.08148148148148149,0.07182756027107363
nsismod,100,0.92,0.07999999999999996,0.06027499537331121
dorshel,104,0.9230769230769231,0.07692307692307687,0.06955888717917295
mamut,139,0.9280575539568345,0.07194244604316546,0.06661624688116471
emotet,854,0.9309133489461359,0.06908665105386413,0.03814153780409353
cerber,131,0.9312977099236641,0.06870229007633588,0.05313662054130494
dapato,175,0.9314285714285714,0.06857142857142862,0.058276593242807234
lummac,150,0.9333333333333333,0.06666666666666665,0.05040509652506691
sonbokli,222,0.9369369369369369,0.06306306306306309,0.05440527153694465
vulndriver,112,0.9375,0.0625,0.055445260284779245
opensupdater,153,0.9411764705882353,0.05882352941176472,0.04529455783750373
yandex,137,0.9416058394160584,0.058394160583941646,0.06037036350145845
presenoker,289,0.9446366782006921,0.05536332179930792,0.04593348655085293
fugrafa,109,0.944954128440367,0.05504587155963303,0.040536370972839075
amsietwpatch,128,0.9453125,0.0546875,0.0470678203239913
munp,436,0.9472477064220184,0.05275229357798161,0.07094258621111754
pony,134,0.9477611940298507,0.052238805970149294,0.051648416186337635
miscx,117,0.9487179487179487,0.05128205128205132,0.0657369290590497
grandoreiro,119,0.9495798319327731,0.050420168067226934,0.08354998449390276
cobaltstrike,917,0.95092693565976,0.04907306434023995,0.02649908945064266
qhost,154,0.9545454545454546,0.045454545454545414,0.05078437983156325
ekstak,1014,0.9546351084812623,0.04536489151873768,0.039955023697650124
pyspy,134,0.9552238805970149,0.04477611940298509,0.033767503766517167
dealply,162,0.9567901234567902,0.043209876543209846,0.1012262410005438
neshta,1427,0.9572529782761037,0.04274702172389633,0.023047237408251715
doina,149,0.959731543624161,0.04026845637583898,0.04270950357954707
lummastealer,2722,0.9599559147685526,0.040044085231447424,0.011770875056421172
diztakun,126,0.9603174603174603,0.03968253968253965,0.049914349123102573
convagent,1330,0.9609022556390977,0.0390977443609023,0.02616475376912804
heracles,1250,0.9616,0.03839999999999999,0.019435663551679746
ulise,492,0.9634146341463414,0.03658536585365857,0.02711916523983769
andromeda,427,0.9648711943793911,0.03512880562060894,0.014308187268049478
installmonster,114,0.9649122807017544,0.03508771929824561,0.03933417256693102
lotok,115,0.9652173913043478,0.034782608695652195,0.06130383459083596
greedy,118,0.9661016949152542,0.03389830508474578,0.05108033131224033
banload,328,0.9664634146341463,0.03353658536585369,0.028313999765953793
shelm,180,0.9666666666666667,0.033333333333333326,0.037016126057075105
floxif,2762,0.9666908037653874,0.03330919623461259,0.011635478997684119
etset,181,0.9668508287292817,0.03314917127071826,0.028557850147134637
donut,151,0.9668874172185431,0.0331125827814569,0.025651105844407197
qqrob,488,0.9672131147540983,0.032786885245901676,0.027129781388615493
marsilia,219,0.9680365296803652,0.03196347031963476,0.034179766588872985
discordbot,171,0.9707602339181286,0.0292397660818714,0.023478387400392372
ramnit,518,0.971042471042471,0.02895752895752901,0.03164114210069487
strictor,105,0.9714285714285714,0.02857142857142858,0.05035569341921261
wacatac,18467,0.9723290193317811,0.027670980668218936,0.0027542893989241026
installcore,150,0.9733333333333334,0.026666666666666616,0.06474712197233569
bobik,153,0.9738562091503268,0.02614379084967322,0.0345688456216733
remcos,547,0.9744058500914077,0.025594149908592323,0.02251509400132022
pemalform,118,0.9745762711864406,0.025423728813559365,0.023050597561187335
strab,199,0.9748743718592965,0.025125628140703515,0.03402878882641562
onlinegames,200,0.975,0.025000000000000022,0.03552951528337699
hupigon,125,0.976,0.02400000000000002,0.05546243622941868
injuke,381,0.9763779527559056,0.023622047244094446,0.029455267955679956
bedep,1354,0.9771048744460856,0.022895125553914375,0.020778250943372812
alien,397,0.9773299748110831,0.02267002518891692,0.02458336029617068
zegost,663,0.9773755656108597,0.022624434389140302,0.011354758617645762
chir,146,0.9794520547945206,0.020547945205479423,0.03234108976984501
barys,452,0.9800884955752213,0.019911504424778736,0.01792472734376097
diple,308,0.9805194805194806,0.01948051948051943,0.016472396380794035
cheatengine,104,0.9807692307692307,0.019230769230769273,0.03048916366226171
khalesi,213,0.9812206572769953,0.018779342723004744,0.02490924059022923
phonzy,542,0.981549815498155,0.01845018450184499,0.01532412236273225
darkcrystal,329,0.9817629179331308,0.018237082066869248,0.01863338176707711
vilsel,224,0.9821428571428571,0.017857142857142905,0.014299158549113745
vindor,169,0.9822485207100592,0.017751479289940808,0.04743281859235654
mikey,405,0.9827160493827161,0.01728395061728394,0.025021282561724558
reconyc,236,0.9830508474576272,0.016949152542372836,0.025082709407977497
cerbu,720,0.9847222222222223,0.015277777777777724,0.021628666891436547
plugx,609,0.9852216748768473,0.014778325123152691,0.012285148998166755
formbook,612,0.9852941176470589,0.014705882352941124,0.01749966604440159
multiplug,150,0.9866666666666667,0.013333333333333308,0.019776481582674466
lokibot,154,0.987012987012987,0.012987012987012991,0.028781999618160907
wronginf,393,0.9872773536895675,0.012722646310432517,0.01513203988084211
engimastealer,473,0.9873150105708245,0.012684989429175508,0.014180584139849182
crysan,320,0.9875,0.012499999999999956,0.01901593213136999
darkcomet,406,0.9876847290640394,0.012315270935960632,0.014907041125529336
puwaders,2128,0.9882518796992481,0.011748120300751896,0.010101725983326879
blackmoon,629,0.9888712241653418,0.011128775834658211,0.012234906975816853
vidar,286,0.9895104895104895,0.010489510489510523,0.012763223341945984
vobfus,597,0.9899497487437185,0.01005025125628145,0.00986182664013849
qihoo360,100,0.99,0.010000000000000009,0.06118934980486994
strelastealer,100,0.99,0.010000000000000009,0.01039887804729796
dorifel,102,0.9901960784313726,0.009803921568627416,0.033833148449123995
disco,932,0.9914163090128756,0.008583690987124415,0.011756285447830991
clipbanker,936,0.9914529914529915,0.008547008547008517,0.012211718077488118
flyagent,120,0.9916666666666667,0.008333333333333304,0.008508244383245756
pajetbin,244,0.9918032786885246,0.008196721311475419,0.01366735149527687
neoreklami,252,0.9920634920634921,0.007936507936507908,0.014845295936360567
innobundle,631,0.9920760697305864,0.007923930269413626,0.1265082760474088
icloader,258,0.9922480620155039,0.007751937984496138,0.009179095120794668
agenttesla,1165,0.992274678111588,0.007725321888412018,0.011300518311163257
sality,1296,0.9922839506172839,0.007716049382716084,0.008985988700101222
realprotect,262,0.9923664122137404,0.007633587786259555,0.012650136928307892
tinba,133,0.9924812030075187,0.007518796992481258,0.018775378917551423
connectwise,137,0.9927007299270073,0.007299270072992692,0.05077342070426778
disfa,138,0.9927536231884058,0.007246376811594235,0.013294594992471933
rhadamanthys,139,0.9928057553956835,0.007194244604316502,0.009890023586477252
gandcrab,139,0.9928057553956835,0.007194244604316502,0.008640552009036075
jadtre,288,0.9930555555555556,0.00694444444444442,0.011088933141159949
guloader,146,0.9931506849315068,0.006849315068493178,0.023642530171851632
dnoper,150,0.9933333333333333,0.00666666666666671,0.009872226718176927
stealc,1681,0.9934562760261749,0.006543723973825077,0.005129824604599184
tofsee,160,0.99375,0.006249999999999978,0.01036922471453748
simda,164,0.9939024390243902,0.0060975609756097615,0.008017848758495054
shodi,708,0.9943502824858758,0.005649717514124242,0.009463940328330778
jalapeno,1600,0.994375,0.005624999999999991,0.0119878961546363
fujacks,182,0.9945054945054945,0.005494505494505475,0.004660348410232012
njrat,1480,0.9945945945945946,0.00540540540540535,0.007713529102044903
zeus,1296,0.9945987654320988,0.005401234567901203,0.011510729504117778
caypnamer,1485,0.9946127946127946,0.005387205387205385,0.007062516317516117
asyncrat,955,0.9947643979057592,0.005235602094240788,0.0064449821462374485
black,195,0.9948717948717949,0.00512820512820511,0.025541541936839524
xmrig,793,0.9949558638083228,0.0050441361916772065,0.006617366775529012
quasar,402,0.9950248756218906,0.00497512437810943,0.011454793892175104
nitol,421,0.995249406175772,0.004750593824228044,0.004216068676497587
mabezat,428,0.9953271028037384,0.004672897196261627,0.036529152189467756
triusor,884,0.995475113122172,0.004524886877828038,0.01237191964041282
redline,1797,0.9955481357818586,0.004451864218141366,0.005402695349826036
tepfer,228,0.9956140350877193,0.004385964912280715,0.0044445480652889995
bundpil,241,0.995850622406639,0.004149377593360981,0.010881604653156268
