bin,lower,upper,count,mean_confidence,accuracy,gap
0,0.5,0.5333333333333333,1773,0.5167480668467516,0.5228426395939086,0.006094572747157079
1,0.5333333333333333,0.5666666666666667,1793,0.5498909584601392,0.5454545454545454,0.004436413005593831
2,0.5666666666666667,0.6,1790,0.5834104944039616,0.5653631284916201,0.018047365912341573
3,0.6,0.6333333333333333,1987,0.6172017984823975,0.6275792652239557,0.01037746674155815
4,0.6333333333333333,0.6666666666666666,2123,0.6505737530020996,0.6533207724917569,0.0027470194896572764
5,0.6666666666666666,0.7,2294,0.6838825154942739,0.6857018308631212,0.001819315368847274
6,0.7,0.7333333333333334,2402,0.7168454893092174,0.7081598667776853,0.008685622531532156
7,0.7333333333333334,0.7666666666666666,2653,0.750639509100726,0.7783641160949868,0.027724606994260825
8,0.7666666666666666,0.8,3254,0.7838325979498058,0.7931776275353412,0.009345029585535403
9,0.8,0.8333333333333333,3846,0.8169976315079321,0.8325533021320853,0.015555670624153195
10,0.8333333333333333,0.8666666666666667,5022,0.850953208200616,0.8715651135005974,0.02061190529998136
11,0.8666666666666667,0.9,6648,0.8843114171903242,0.9052346570397112,0.020923239849386932
12,0.9,0.9333333333333333,10225,0.9180614984185345,0.9431784841075794,0.02511698568904497
13,0.9333333333333333,0.9666666666666667,20682,0.9524700945435037,0.9679914901847017,0.015521395641197921
14,0.9666666666666667,1.0,473508,0.9969479767805516,0.9981710974260203,0.0012231206454687005
